Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,98.66369710467706,98.65319997083108,98.66839010475634,98.66053955495309
Decision Tree,99.59020044543429,99.58916694784881,99.58916694784881,99.58916694784881
Random Forest,98.41425389755011,98.40942197380207,98.41115061134123,98.41028314519662
K-Nearest Neighbors,68.62360801781738,78.33501304175876,67.08326498713564,64.50170602496183
Naive Bayes,93.69265033407572,93.6888830265353,93.66240905659205,93.67487858803979
